season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,label
2,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,low
2,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,low
2,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,median
2,4,0,6,0,3,0.43083299999999997,0.425492,0.888333,0.340808,low
2,4,0,1,1,1,0.5125,0.503146,0.5425,0.16356700000000002,median
2,4,0,2,1,2,0.505833,0.48925799999999997,0.665833,0.157971,median
2,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,median
2,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,median
2,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,low
2,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,median
2,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,median
2,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,median
2,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,median
2,4,0,4,1,2,0.6175,0.578929,0.700833,0.32090799999999997,median
2,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,median
2,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,low
2,5,0,4,1,1,0.459167,0.441917,0.44416700000000003,0.295392,median
2,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,median
2,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,median
2,5,0,0,0,1,0.5283329999999999,0.518933,0.631667,0.0746375,median
2,5,0,1,1,1,0.5325,0.525246,0.58875,0.17600000000000002,median
2,5,0,2,1,1,0.5325,0.522721,0.489167,0.11567100000000001,median
2,5,0,3,1,1,0.5425,0.5284,0.632917,0.12064200000000001,median
2,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,median
2,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,median
2,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,median
2,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,median
2,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,median
2,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,median
2,5,0,3,1,2,0.55,0.527158,0.87,0.201492,median
2,5,0,4,1,2,0.530833,0.510742,0.829583,0.10821300000000002,median
2,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,median
2,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,high
2,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,median
2,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,median
2,5,0,3,1,1,0.660833,0.615542,0.69625,0.15423299999999998,median
2,5,0,4,1,1,0.708333,0.654688,0.6775,0.19964200000000001,median
2,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,median
2,5,0,6,0,1,0.655833,0.612379,0.729583,0.23009200000000002,median
2,5,0,0,0,1,0.6675,0.61555,0.81875,0.21393800000000002,median
2,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,median
2,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,median
2,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,median
2,6,0,4,1,1,0.715,0.643942,0.305,0.29228699999999996,median
2,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,high
2,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,median
2,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,median
2,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,median
2,6,0,3,1,1,0.775833,0.727279,0.6220829999999999,0.136817,median
2,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,median
2,6,0,5,1,1,0.755,0.703292,0.605,0.14055399999999998,median
2,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,median
2,6,0,0,0,1,0.6925,0.643325,0.747917,0.16356700000000002,median
2,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,high
2,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,median
2,6,0,3,1,1,0.626667,0.587754,0.471667,0.16791199999999998,high
2,6,0,4,1,2,0.628333,0.595346,0.688333,0.20647100000000002,median
2,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,median
2,6,0,6,0,1,0.696667,0.643954,0.670417,0.11940799999999999,high
2,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,median
2,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,median
3,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,median
3,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,median
3,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,median
3,6,0,0,0,1,0.68,0.637629,0.513333,0.09453330000000001,high
3,6,0,1,1,2,0.6825,0.637004,0.658333,0.10758800000000002,median
3,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,median
3,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,high
3,6,0,4,1,1,0.696667,0.637008,0.434167,0.18531199999999998,high
3,7,0,5,1,1,0.7225,0.652162,0.39625,0.10260799999999999,high
3,7,0,6,0,1,0.738333,0.667308,0.444583,0.11506199999999998,high
3,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,median
3,7,0,2,1,1,0.746667,0.696338,0.590417,0.12625799999999998,median
3,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,median
3,7,0,5,1,2,0.709167,0.6704829999999999,0.757917,0.225129,median
3,7,0,6,0,1,0.733333,0.664158,0.609167,0.16791199999999998,high
3,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,median
3,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,median
3,7,0,3,1,1,0.746667,0.689404,0.631667,0.14613299999999999,median
3,7,0,4,1,1,0.680833,0.635104,0.47625,0.24066700000000002,high
3,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,high
3,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,high
3,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,median
3,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,median
3,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,median
3,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,median
3,7,0,5,1,1,0.848333,0.8408959999999999,0.580417,0.1331,median
3,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,median
3,7,0,0,0,1,0.83,0.794829,0.550833,0.16917100000000002,median
3,7,0,1,1,1,0.743333,0.720958,0.757083,0.09080830000000001,median
3,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,median
3,7,0,3,1,1,0.775,0.690667,0.402917,0.18346300000000001,median
3,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,median
3,7,0,5,1,1,0.838333,0.785967,0.5425,0.17413800000000001,median
3,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,median
3,7,0,0,0,1,0.805833,0.729796,0.480833,0.16481300000000002,median
3,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,median
3,8,0,3,1,2,0.731667,0.679937,0.6575,0.13558299999999998,median
3,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,median
3,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,median
3,8,0,0,0,1,0.7425,0.715292,0.7529170000000001,0.201487,median
3,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,median
3,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,median
3,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,median
3,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,median
3,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,median
3,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,median
3,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,median
3,8,0,3,1,1,0.723333,0.666671,0.575417,0.14366700000000002,median
3,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,median
3,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,high
3,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,median
3,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,median
3,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,high
3,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,median
3,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,median
3,8,0,6,0,2,0.68,0.635556,0.85,0.37561700000000003,low
3,8,0,0,0,1,0.707059,0.6479590000000001,0.561765,0.304659,median
3,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,median
3,8,0,2,1,1,0.639167,0.594704,0.548333,0.12500799999999998,high
3,8,0,3,1,1,0.656667,0.611121,0.597917,0.08333330000000001,high
3,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,high
3,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,median
3,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,median
3,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,median
3,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,median
3,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,low
3,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,low
3,9,0,0,0,1,0.6533329999999999,0.609229,0.71375,0.11505399999999999,high
3,9,0,1,1,1,0.6443479999999999,0.60213,0.692174,0.088913,median
3,9,0,2,1,1,0.650833,0.603554,0.7125,0.14180399999999999,median
3,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,median
3,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,median
3,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,median
3,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,median
3,9,0,3,1,2,0.595,0.5505329999999999,0.9,0.0964042,median
3,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,median
4,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,high
4,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,high
4,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,median
4,9,0,3,1,2,0.635,0.575158,0.84875,0.14862899999999998,median
4,9,0,4,1,1,0.616667,0.574512,0.699167,0.17288299999999998,median
4,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,high
4,10,0,6,0,2,0.41,0.41286300000000004,0.75375,0.292296,low
4,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,median
4,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,median
4,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,median
4,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,median
4,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,high
4,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,high
4,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,low
4,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,low
4,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,median
4,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,high
4,10,0,1,1,1,0.5341670000000001,0.510725,0.579583,0.175379,median
4,10,0,2,1,2,0.5325,0.522721,0.701667,0.11008699999999999,median
4,10,0,3,1,3,0.5417390000000001,0.513848,0.895217,0.243339,low
4,10,0,4,1,1,0.475833,0.466525,0.63625,0.422275,median
4,10,0,5,1,1,0.4275,0.42359600000000003,0.574167,0.221396,median
4,10,0,0,0,1,0.421667,0.422333,0.74125,0.0995125,median
4,10,0,1,1,1,0.463333,0.457067,0.772083,0.11879200000000001,median
4,10,0,2,1,1,0.471667,0.463375,0.622917,0.166658,median
4,10,0,4,1,2,0.47,0.457046,0.812917,0.19776300000000002,low
4,10,0,5,1,2,0.330833,0.318812,0.585833,0.229479,median
4,10,0,6,0,3,0.25416700000000003,0.227913,0.8825,0.351371,low
4,10,0,0,0,1,0.31916700000000003,0.321329,0.62375,0.176617,median
4,10,0,1,1,1,0.34,0.356063,0.703333,0.10635,median
4,11,0,2,1,1,0.400833,0.397088,0.68375,0.135571,median
4,11,0,3,1,1,0.3775,0.390133,0.71875,0.08209169999999999,median
4,11,0,4,1,1,0.408333,0.405921,0.702083,0.136817,median
4,11,0,5,1,2,0.403333,0.40339200000000003,0.6225,0.271779,median
4,11,0,6,0,1,0.326667,0.323854,0.519167,0.18906199999999998,median
4,11,0,0,0,1,0.348333,0.362358,0.734583,0.09205419999999999,median
4,11,0,1,1,1,0.395,0.400871,0.75875,0.057225,median
4,11,0,3,1,1,0.4,0.40907899999999997,0.758333,0.06219580000000001,median
4,11,1,5,0,1,0.324167,0.306817,0.44625,0.314675,median
4,11,0,6,0,1,0.356667,0.357942,0.552917,0.212062,median
4,11,0,0,0,1,0.440833,0.43055,0.458333,0.281721,median
4,11,0,1,1,1,0.53,0.524612,0.587083,0.306596,median
4,11,0,2,1,2,0.53,0.507579,0.68875,0.199633,median
4,11,0,4,1,2,0.341667,0.323221,0.575833,0.30536199999999997,median
4,11,0,5,1,1,0.274167,0.272721,0.41,0.168533,median
4,11,0,6,0,1,0.329167,0.32448299999999997,0.502083,0.224496,median
4,11,0,0,0,2,0.463333,0.457058,0.6845829999999999,0.18595,median
4,11,0,1,1,3,0.4475,0.445062,0.91,0.138054,low
4,11,0,2,1,3,0.416667,0.421696,0.9625,0.11879200000000001,low
4,11,1,4,0,1,0.37333299999999997,0.372471,0.549167,0.167304,low
4,11,0,5,1,1,0.375,0.380671,0.64375,0.0988958,low
4,11,0,6,0,1,0.375833,0.385087,0.681667,0.0684208,median
4,11,0,0,0,1,0.459167,0.4558,0.698333,0.208954,median
4,11,0,1,1,1,0.503478,0.490122,0.743043,0.142122,median
4,11,0,2,1,2,0.458333,0.451375,0.830833,0.258092,low
4,12,0,4,1,1,0.3125,0.305554,0.524583,0.220158,median
4,12,0,5,1,1,0.31416700000000003,0.331433,0.625833,0.100754,median
4,12,0,6,0,1,0.299167,0.310604,0.612917,0.0957833,median
4,12,0,0,0,1,0.330833,0.3491,0.775833,0.08395830000000001,median
4,12,0,1,1,2,0.385833,0.393925,0.827083,0.06220830000000001,median
4,12,0,2,1,3,0.4625,0.4564,0.949583,0.23258299999999998,low
4,12,0,3,1,3,0.41,0.400246,0.970417,0.266175,low
4,12,0,4,1,1,0.265833,0.256938,0.58,0.240058,median
4,12,0,5,1,1,0.290833,0.317542,0.695833,0.08271669999999999,median
4,12,0,6,0,1,0.275,0.266412,0.5075,0.233221,median
4,12,0,0,0,1,0.220833,0.253154,0.49,0.0665417,low
4,12,0,1,1,1,0.238333,0.270196,0.670833,0.06345,median
4,12,0,2,1,1,0.2825,0.301138,0.59,0.14055,median
4,12,0,3,1,2,0.3175,0.338362,0.66375,0.06095830000000001,median
4,12,0,4,1,2,0.4225,0.41223699999999996,0.634167,0.268042,median
4,12,0,5,1,2,0.375,0.359825,0.500417,0.260575,median
4,12,0,6,0,2,0.258333,0.249371,0.560833,0.243167,low
4,12,0,0,0,1,0.238333,0.245579,0.58625,0.16977899999999999,low
4,12,0,1,1,1,0.276667,0.280933,0.6375,0.172896,median
4,12,0,2,1,2,0.385833,0.396454,0.595417,0.06157080000000001,median
1,12,0,3,1,2,0.428333,0.428017,0.858333,0.2214,low
1,12,0,5,1,1,0.37333299999999997,0.377513,0.68625,0.274246,low
1,12,0,6,0,1,0.3025,0.299242,0.5425,0.190304,low
1,12,0,0,0,1,0.274783,0.279961,0.681304,0.155091,low
1,12,0,2,1,2,0.325,0.327633,0.7625,0.18845,low
1,12,0,3,1,1,0.29913,0.279974,0.503913,0.29396100000000003,low
1,12,0,5,1,1,0.311667,0.318812,0.636667,0.13433699999999998,low
1,12,0,6,0,1,0.41,0.414121,0.615833,0.220154,low
1,1,0,0,0,1,0.37,0.375621,0.6925,0.192167,low
1,1,1,1,0,1,0.273043,0.252304,0.381304,0.329665,low
1,1,0,2,1,1,0.15,0.126275,0.44125,0.365671,low
1,1,0,3,1,2,0.1075,0.11933699999999998,0.414583,0.1847,low
1,1,0,5,1,1,0.334167,0.340267,0.542083,0.167908,median
1,1,0,6,0,1,0.393333,0.390779,0.531667,0.174758,median
1,1,0,1,1,2,0.224167,0.247479,0.701667,0.0989,low
1,1,0,4,1,2,0.3825,0.381938,0.802917,0.18096700000000002,median
1,1,0,5,1,1,0.274167,0.249362,0.5075,0.378108,median
1,1,0,6,0,1,0.18,0.183087,0.4575,0.187183,low
1,1,0,0,0,1,0.166667,0.161625,0.419167,0.251258,low
1,1,1,1,0,1,0.19,0.190663,0.5225,0.23135799999999998,low
1,1,0,2,1,2,0.37304299999999996,0.36427800000000005,0.716087,0.34913,low
1,1,0,3,1,1,0.303333,0.275254,0.443333,0.415429,median
1,1,0,6,0,2,0.173333,0.174875,0.83125,0.222642,low
1,1,0,0,0,2,0.1625,0.16225,0.79625,0.199638,low
1,1,0,1,1,2,0.218333,0.243058,0.91125,0.11070799999999999,low
1,1,0,3,1,1,0.294167,0.294821,0.64375,0.161071,median
1,1,0,6,0,1,0.315833,0.326379,0.543333,0.210829,median
1,1,0,0,0,1,0.2825,0.272721,0.31125,0.24005,median
1,2,0,4,1,2,0.399167,0.398971,0.672917,0.187187,median
1,2,0,5,1,1,0.313333,0.309346,0.526667,0.17849600000000002,median
1,2,0,6,0,2,0.264167,0.272725,0.779583,0.121896,low
1,2,0,0,0,2,0.265833,0.264521,0.687917,0.175996,low
1,2,0,1,1,1,0.282609,0.296426,0.622174,0.1538,median
1,2,0,2,1,1,0.354167,0.361104,0.49625,0.147379,median
1,2,0,3,1,2,0.25666700000000003,0.266421,0.722917,0.133721,low
1,2,0,6,0,3,0.224167,0.210867,0.73125,0.289796,low
1,2,0,0,0,1,0.1275,0.101658,0.46458299999999997,0.40921199999999996,low
1,2,0,2,1,2,0.31916700000000003,0.333946,0.50875,0.141179,median
1,2,0,3,1,1,0.348333,0.35162899999999997,0.53125,0.1816,median
1,2,0,4,1,2,0.31666700000000003,0.330162,0.7529170000000001,0.091425,median
1,2,0,5,1,1,0.343333,0.35162899999999997,0.634583,0.205846,median
1,2,0,6,0,1,0.346667,0.355425,0.534583,0.190929,median
1,2,0,0,0,2,0.28,0.265788,0.515833,0.253112,low
1,2,1,1,0,1,0.28,0.273391,0.507826,0.22908299999999998,median
1,2,0,2,1,1,0.287826,0.295113,0.594348,0.205717,median
1,2,0,3,1,1,0.395833,0.392667,0.567917,0.234471,median
1,2,0,4,1,1,0.454167,0.444446,0.554583,0.190913,high
1,2,0,5,1,2,0.4075,0.41097100000000003,0.7375,0.237567,median
1,2,0,6,0,1,0.290833,0.255675,0.395833,0.421642,low
1,2,0,0,0,1,0.279167,0.268308,0.41,0.205229,median
1,2,0,1,1,1,0.366667,0.357954,0.490833,0.26803299999999997,median
1,2,0,2,1,1,0.359167,0.353525,0.395833,0.193417,median
1,2,0,3,1,2,0.344348,0.34847,0.804783,0.179117,low
1,3,0,4,1,1,0.485833,0.475371,0.615417,0.226987,median
1,3,0,5,1,2,0.353333,0.359842,0.657083,0.144904,median
1,3,0,6,0,2,0.414167,0.413492,0.62125,0.161079,median
1,3,0,0,0,1,0.325833,0.303021,0.403333,0.334571,median
1,3,0,1,1,1,0.243333,0.241171,0.50625,0.228858,median
1,3,0,2,1,1,0.258333,0.255042,0.456667,0.200875,median
1,3,0,3,1,1,0.404167,0.3851,0.513333,0.345779,median
1,3,0,4,1,1,0.5275,0.524604,0.5675,0.441563,high
1,3,0,5,1,2,0.410833,0.397083,0.407083,0.4148,median
1,3,0,6,0,1,0.2875,0.277767,0.35041700000000003,0.22575,median
1,3,0,1,1,1,0.466667,0.459592,0.489167,0.207713,high
1,3,0,2,1,1,0.565,0.542929,0.6175,0.23695,high
1,3,0,3,1,1,0.5725,0.548617,0.507083,0.11506199999999998,high
1,3,0,5,1,2,0.43583299999999997,0.436229,0.842083,0.113192,median
1,3,0,0,0,2,0.4725,0.46399999999999997,0.81,0.126883,high
1,3,0,1,1,1,0.545,0.532821,0.72875,0.16231700000000002,high
1,3,0,2,1,1,0.560833,0.538533,0.807917,0.121271,high
2,3,0,3,1,2,0.531667,0.513258,0.82125,0.08955830000000001,high
2,3,0,4,1,1,0.554167,0.531567,0.83125,0.11756199999999999,high
2,3,0,5,1,2,0.601667,0.570067,0.694167,0.1163,high
2,3,0,6,0,2,0.5025,0.48673299999999997,0.885417,0.19278299999999998,median
2,3,0,1,1,1,0.445833,0.43875,0.477917,0.386821,high
2,3,0,2,1,1,0.323333,0.315654,0.29,0.187192,high
2,3,0,3,1,1,0.484167,0.47095,0.48125,0.291671,high
2,3,0,4,1,1,0.494167,0.482304,0.43916700000000003,0.31965,high
2,3,0,6,0,2,0.424167,0.42170799999999997,0.738333,0.25061700000000003,high
2,4,0,0,0,2,0.425833,0.41728699999999996,0.67625,0.172267,high
2,4,0,1,1,1,0.433913,0.42751300000000003,0.5043479999999999,0.312139,high
2,4,0,3,1,1,0.541667,0.53345,0.469583,0.180975,high
2,4,0,5,1,1,0.403333,0.39076700000000003,0.377083,0.300388,high
2,4,0,6,0,1,0.4375,0.426129,0.25416700000000003,0.274871,high
2,4,0,0,0,1,0.5,0.492425,0.275833,0.232596,high
2,4,0,1,1,1,0.489167,0.476638,0.3175,0.358196,high
2,4,0,2,1,1,0.446667,0.436233,0.435,0.249375,high
2,4,0,3,1,1,0.348696,0.33727399999999996,0.46956499999999995,0.295274,median
2,4,0,4,1,1,0.3975,0.387604,0.46625,0.290429,high
2,4,0,5,1,1,0.4425,0.43180799999999997,0.408333,0.155471,high
2,4,0,6,0,1,0.495,0.487996,0.5029170000000001,0.190917,high
2,4,0,0,0,1,0.606667,0.573875,0.507917,0.225129,high
2,4,0,2,1,1,0.608333,0.598487,0.390417,0.273629,high
2,4,0,3,1,2,0.463333,0.457038,0.569167,0.16791199999999998,median
2,4,0,4,1,1,0.49833299999999997,0.493046,0.6125,0.0659292,high
2,4,0,5,1,1,0.526667,0.515775,0.694583,0.149871,high
2,4,0,6,0,1,0.57,0.542921,0.682917,0.283587,high
2,4,0,0,0,3,0.396667,0.389504,0.835417,0.344546,low
2,4,0,1,1,2,0.321667,0.301125,0.766667,0.303496,median
2,4,0,2,1,1,0.413333,0.405283,0.454167,0.249383,high
2,4,0,3,1,1,0.476667,0.470317,0.427917,0.11879200000000001,high
2,4,0,4,1,2,0.49833299999999997,0.483583,0.756667,0.176625,high
2,4,0,6,0,2,0.37666700000000003,0.377504,0.489583,0.129975,median
2,4,0,0,0,1,0.458333,0.450121,0.587083,0.116908,high
2,4,0,1,1,2,0.464167,0.457696,0.57,0.171638,high
2,5,0,2,1,2,0.613333,0.577021,0.659583,0.156096,high
2,5,0,3,1,1,0.564167,0.537896,0.797083,0.138058,high
2,5,0,4,1,2,0.56,0.537242,0.768333,0.133696,high
